O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
41-3011.00,Advertising Sales Agents,Primary-Short
13-1131.00,Fundraisers,Primary-Long
11-2033.00,Fundraising Managers,Primary-Long
13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short
11-2021.00,Marketing Managers,Primary-Short
13-1199.06,Online Merchants,Primary-Long
11-2032.00,Public Relations Managers,Primary-Long
27-3031.00,Public Relations Specialists,Primary-Long
11-2022.00,Sales Managers,Primary-Short
13-1161.01,Search Marketing Strategists,Primary-Short
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental
27-3043.00,Writers and Authors,Supplemental
15-2051.01,Business Intelligence Analysts,Supplemental
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Supplemental
13-1111.00,Management Analysts,Supplemental
27-1026.00,Merchandise Displayers and Window Trimmers,Supplemental
11-3061.00,Purchasing Managers,Supplemental
41-9041.00,Telemarketers,Supplemental
15-1299.01,Web Administrators,Supplemental
27-1011.00,Art Directors,Supplemental
