Importance,Skill,Skill Description
88,Mathematics,Using mathematics to solve problems.
78,Critical Thinking,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
78,Complex Problem Solving,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
75,Reading Comprehension,Understanding written sentences and paragraphs in work-related documents.
75,Active Listening,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
75,Writing,Communicating effectively in writing as appropriate for the needs of the audience.
75,Judgment and Decision Making,Considering the relative costs and benefits of potential actions to choose the most appropriate one.
75,Systems Evaluation,"Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
72,Speaking,Talking to others to convey information effectively.
72,Active Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.
72,Systems Analysis,"Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
66,Operations Analysis,Analyzing needs and product requirements to create a design.
53,Science,Using scientific rules and methods to solve problems.
50,Learning Strategies,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
50,Coordination,Adjusting actions in relation to others' actions.
50,Instructing,Teaching others how to do something.
50,Time Management,Managing one's own time and the time of others.
47,Monitoring,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
47,Social Perceptiveness,Being aware of others' reactions and understanding why they react as they do.
44,Persuasion,Persuading others to change their minds or behavior.
44,Service Orientation,Actively looking for ways to help people.
38,Programming,Writing computer programs for various purposes.
35,Management of Personnel Resources,"Motivating, developing, and directing people as they work, identifying the best people for the job."
31,Negotiation,Bringing others together and trying to reconcile differences.
22,Technology Design,Generating or adapting equipment and technology to serve user needs.
22,Quality Control Analysis,"Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
19,Management of Financial Resources,"Determining how money will be spent to get the work done, and accounting for these expenditures."
19,Management of Material Resources,"Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
13,Operations Monitoring,"Watching gauges, dials, or other indicators to make sure a machine is working properly."
10,Troubleshooting,Determining causes of operating errors and deciding what to do about it.
3,Equipment Selection,Determining the kind of tools and equipment needed to do a job.
0,Installation,"Installing equipment, machines, wiring, or programs to meet specifications."
0,Operation and Control,Controlling operations of equipment or systems.
0,Equipment Maintenance,Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
0,Repairing,Repairing machines or systems using the needed tools.
